player_id,player_name,age,nationality,club,league,position,minutes_played,appearances,goals,assists,estimated_market_value,source_market_value,source_minutes,source_profile,last_updated,data_confidence,why_undervalued,risk_level,secondary_position,dominant_foot,height,contract_until,source_contract,yellow_cards,red_cards,clean_sheets,source_news,source_video,visibility_level,recommended_market,context_notes,positive_signals,risk_signals,qualitative_notes
1301429,Martín Lazarte,20,,,Primera Nacional (Argentina),Left-Back,840,11,1,3,50000,,,,,,,,,,,,,,,,,,,,,,,
1322232,Alex Valdez Chamorro,20,,,Primera Nacional (Argentina),Central Midfield,974,13,1,2,75000,,,,,,,,,,,,,,,,,,,,,,,
1050478,Juan Cruz Giacone,22,,,Primera Nacional (Argentina),Centre-Forward,565,11,2,2,25000,,,,,,,,,,,,,,,,,,,,,,,
1156142,Jonathan Raccio,21,,,Primera Nacional (Argentina),Attacking Midfield,506,13,1,2,75000,,,,,,,,,,,,,,,,,,,,,,,
1447123,Thiago Ocampo,17,,,Primera Nacional (Argentina),Right Winger,994,16,2,3,200000,,,,,,,,,,,,,,,,,,,,,,,
1335312,Mateo Maldonado,20,,,Primera Nacional (Argentina),Left-Back,663,13,0,1,25000,,,,,,,,,,,,,,,,,,,,,,,
1072990,Gabriel Paredes,22,,,Primera Nacional (Argentina),Left-Back,642,9,1,1,75000,,,,,,,,,,,,,,,,,,,,,,,
1294448,Leonel Cardozo,22,,,Primera Nacional (Argentina),Centre-Back,660,12,0,1,50000,,,,,,,,,,,,,,,,,,,,,,,
1206618,Facundo Villarreal,21,,,Primera Nacional (Argentina),Right Winger,878,17,2,2,125000,,,,,,,,,,,,,,,,,,,,,,,
1391007,Nazareno Kihm,21,,,Primera Nacional (Argentina),Right-Back,1374,16,1,3,200000,,,,,,,,,,,,,,,,,,,,,,,
1282482,Fabrizio Ghiggia,22,,,Primera Nacional (Argentina),Right-Back,1200,22,1,0,10000,,,,,,,,,,,,,,,,,,,,,,,
1435436,Felipe Obradovich,19,,,Primera Nacional (Argentina),Defensive Midfield,1514,18,2,1,225000,,,,,,,,,,,,,,,,,,,,,,,
1272690,Enzo Wuattier,21,,,Primera Nacional (Argentina),Left-Back,1394,16,0,2,100000,,,,,,,,,,,,,,,,,,,,,,,
1290508,Enzo Aguirre,22,,,Primera Nacional (Argentina),Right-Back,591,12,0,1,100000,,,,,,,,,,,,,,,,,,,,,,,
1298405,Luca Arfaras,20,,,Primera Nacional (Argentina),Centre-Forward,755,13,0,2,25000,,,,,,,,,,,,,,,,,,,,,,,
